date,psr
2015-02-01,8.1999998
2015-03-01,7.6999998
2015-04-01,7.5999999
2015-05-01,7.5
2015-06-01,7.4000001
2015-07-01,7.3000002
2015-08-01,7.3000002
2015-09-01,7.4000001
2015-10-01,7.5
2015-11-01,7.1999998
2015-12-01,7.3000002
2016-01-01,7.5999999
2016-02-01,7.1999998
2016-03-01,7.5
2016-04-01,7.0999999
2016-05-01,6.9000001
2016-06-01,6.5
2016-07-01,6.6999998
2016-08-01,6.5999999
2016-09-01,6.5999999
2016-10-01,6.8000002
2016-11-01,6.6999998
2016-12-01,6.4000001
2017-01-01,6.6999998
2017-02-01,7
2017-03-01,7
2017-04-01,7.0999999
2017-05-01,7.5999999
2017-06-01,7.4000001
2017-07-01,7.5
2017-08-01,7.5999999
2017-09-01,7.3000002
2017-10-01,7.4000001
2017-11-01,7
2017-12-01,6.5999999
2018-01-01,7.5
2018-02-01,7.8000002
2018-03-01,7.8000002
2018-04-01,7.6999998
2018-05-01,7.6999998
2018-06-01,7.9000001
2018-07-01,7.9000001
2018-08-01,7.8000002
2018-09-01,7.9000001
2018-10-01,7.5999999
2018-11-01,7.4000001
2018-12-01,9.1000004
2019-01-01,8.5
2019-02-01,8.6000004
2019-03-01,8
2019-04-01,7.5
2019-05-01,7.3000002
2019-06-01,7.0999999
2019-07-01,7
2019-08-01,7.3000002
2019-09-01,7.3000002
2019-10-01,7.1999998
2019-11-01,7.5
2019-12-01,7.1999998
2020-01-01,7.5999999
