date,sp500
2018-06-15,2779.6599
2018-06-18,2773.75
2018-06-19,2762.5901
2018-06-20,2767.3201
2018-06-21,2749.76
2018-06-22,2754.8799
2018-06-25,2717.0701
2018-06-26,2723.0601
2018-06-27,2699.6299
2018-06-28,2716.3101
2018-06-29,2718.3701
2018-07-02,2726.71
2018-07-03,2713.22
2018-07-04,
2018-07-05,2736.6101
2018-07-06,2759.8201
2018-07-09,2784.1699
2018-07-10,2793.8401
2018-07-11,2774.02
2018-07-12,2798.29
2018-07-13,2801.3101
2018-07-16,2798.4299
2018-07-17,2809.55
2018-07-18,2815.6201
2018-07-19,2804.49
2018-07-20,2801.8301
2018-07-23,2806.98
2018-07-24,2820.3999
2018-07-25,2846.0701
2018-07-26,2837.4399
2018-07-27,2818.8201
2018-07-30,2802.6001
2018-07-31,2816.29
2018-08-01,2813.3601
2018-08-02,2827.22
2018-08-03,2840.3501
2018-08-06,2850.3999
2018-08-07,2858.45
2018-08-08,2857.7
2018-08-09,2853.5801
2018-08-10,2833.28
2018-08-13,2821.9299
2018-08-14,2839.96
2018-08-15,2818.3701
2018-08-16,2840.6899
2018-08-17,2850.1299
2018-08-20,2857.05
2018-08-21,2862.96
2018-08-22,2861.8201
2018-08-23,2856.98
2018-08-24,2874.6899
2018-08-27,2896.74
2018-08-28,2897.52
2018-08-29,2914.04
2018-08-30,2901.1299
2018-08-31,2901.52
2018-09-03,
2018-09-04,2896.72
2018-09-05,2888.6001
2018-09-06,2878.05
2018-09-07,2871.6799
2018-09-10,2877.1299
2018-09-11,2887.8899
2018-09-12,2888.9199
2018-09-13,2904.1799
2018-09-14,2904.98
2018-09-17,2888.8
2018-09-18,2904.3101
2018-09-19,2907.95
2018-09-20,2930.75
2018-09-21,2929.6699
2018-09-24,2919.3701
2018-09-25,2915.5601
2018-09-26,2905.97
2018-09-27,2914
2018-09-28,2913.98
2018-10-01,2924.5901
2018-10-02,2923.4299
2018-10-03,2925.51
2018-10-04,2901.6101
2018-10-05,2885.5701
2018-10-08,2884.4299
2018-10-09,2880.3401
2018-10-10,2785.6799
2018-10-11,2728.3701
2018-10-12,2767.1299
2018-10-15,2750.79
2018-10-16,2809.9199
2018-10-17,2809.21
2018-10-18,2768.78
2018-10-19,2767.78
2018-10-22,2755.8799
2018-10-23,2740.6899
2018-10-24,2656.1001
2018-10-25,2705.5701
2018-10-26,2658.6899
2018-10-29,2641.25
2018-10-30,2682.6299
2018-10-31,2711.74
2018-11-01,2740.3701
2018-11-02,2723.0601
2018-11-05,2738.3101
2018-11-06,2755.45
2018-11-07,2813.8899
2018-11-08,2806.8301
2018-11-09,2781.01
2018-11-12,2726.22
2018-11-13,2722.1799
2018-11-14,2701.5801
2018-11-15,2730.2
2018-11-16,2736.27
2018-11-19,2690.73
2018-11-20,2641.8899
2018-11-21,2649.9299
2018-11-22,
2018-11-23,2632.5601
2018-11-26,2673.45
2018-11-27,2682.1699
2018-11-28,2743.79
2018-11-29,2737.76
2018-11-30,2760.1699
2018-12-03,2790.3701
2018-12-04,2700.0601
2018-12-05,
2018-12-06,2695.95
2018-12-07,2633.0801
2018-12-10,2637.72
2018-12-11,2636.78
2018-12-12,2651.0701
2018-12-13,2650.54
2018-12-14,2599.95
2018-12-17,2545.9399
2018-12-18,2546.1599
2018-12-19,2506.96
2018-12-20,2467.4199
2018-12-21,2416.6201
2018-12-24,2351.1001
2018-12-25,
2018-12-26,2467.7
2018-12-27,2488.8301
2018-12-28,2485.74
